Name,Solvent,Dipole Moment [D],Dielectric Constant ( e ),Refractive Index (n),f(n^2),DI,ES,\alpha_1,\beta_1,f(Lippert-Mataga),f(Bilot-Kawski),f(McRea),g(Bilot-Kawski)
acetonitrile,CC#N,3.5,35.94,1.342,0.175,0.67,0.84,0.23,0.37,0.305368563,0.85985949,0.710201239,0.23292938
dimethyl sulfoxide,CS(C)=O,4.1,46.45,1.478,0.22092,0.84,1,0,0.71,0.26340886,0.840427001,0.65501477,0.323128828
propylene carbonate,CC1COC(=O)O1,4.9,64.92,1.42,0.202,0.77,1.07,0,0.4,0.286580442,0.879785052,0.702107909,0.285082744
dimethylformamide,CN(C)C=O,3.2,36.71,1.428,0.205,0.78,0.87,0,0.69,0.275214609,0.836371143,0.665224919,0.290371127
nitromethane,C[N+]([O-])=O,3.6,36.15,1.38,0.188,0.72,0.84,0.28,0.23,0.291464285,0.849492598,0.689726938,0.258463745
acetone,CC(C)=O,2.7,20.56,1.356,0.18,0.69,0.78,0.04,0.49,0.28507351,0.790227306,0.648528523,0.242362296
HMPA,CN(C)P(=O)(N(C)C)N(C)C,4.3,29.3,1.457,0.214,0.82,0.71,0,1,0.260780815,0.803876385,0.631805519,0.309434507
DMC,COC(=O)OC,1,3.17,1.386,0.184,0.7,0.56,0,0.4,0.105430182,0.228257896,0.184840929,0.26247453
methyl acetate,COC(C)=O,1.7,6.68,1.359,0.181,0.69,0.56,0,0.51,0.21511626,0.529825161,0.434230441,0.244379886
cyclohexanone,O=C1CCCCC1,3.1,16.1,1.45,0.212,0.81,0.65,0,0.55,0.243003715,0.717491417,0.56551557,0.304848785
ethyl acetate,CCOC(C)=O,1.8,6.02,1.37,0.185,0.71,0.51,0,0.52,0.200506369,0.490166933,0.399749292,0.251765894
tetrahydrofuran,C1CCOC1,1.8,7.58,1.405,0.197,0.75,0.47,0,0.58,0.210327943,0.55002166,0.441749745,0.275134333
"1,4-dioxane",C1COCCO1,0.5,2.21,1.42,0.203,0.77,0.36,0,0.44,0.021292058,0.043040793,0.034348482,0.285082744
dichloromethane,ClCCl,1.1,8.93,1.421,0.203,0.78,0.6,0.1,0,0.218175311,0.591614019,0.471935658,0.285744466
1 -chlorobutane,CCCCCl,1.9,7.39,1.4,0.195,0.75,0.43,0,0.15,0.209821015,0.544289834,0.43808694,0.271808999
diethyl ether,CCOCC,1.2,4.2,1.35,0.178,0.68,0.26,0,0.58,0.163353411,0.365713356,0.300955716,0.238323094
chloroform,ClC(Cl)Cl,1.2,4.81,1.443,0.211,0.8,0.4,0.2,0,0.149201555,0.372398564,0.294360394,0.300252886
2-methylbutane,CCC(C)C,0,1.83,1.351,0.179,0.68,0,0,0,0.000664348,0.00119469,0.000982696,0.238996662
cyclohexane,C1CCCCC1,0,2.02,1.424,0.204,0.78,0,0,0,-0.000915542,-0.001808379,-0.001440742,0.287728482
methanol,CO,1.7,32.66,1.327,0.169,0.64,0.84,1,0.54,0.309104437,0.854997351,0.711120148,0.222792396
ethanol,CCO,1.7,24.55,1.359,0.181,0.69,0.8,0.75,0.62,0.289632965,0.813665338,0.666858211,0.244379886
1 -propanol,CCCO,1.7,20.45,1.384,0.19,0.72,0.77,0.68,0.65,0.274700855,0.780461071,0.632563993,0.261138274
2-propanol,CC(C)O,1.7,19.92,1.375,0.187,0.71,0.77,0.53,0.68,0.276996793,0.779406607,0.634223023,0.255116853
1-butanol,CCCCO,1.8,17.51,1.397,0.194,0.74,0.75,0.65,0.67,0.264278008,0.751210998,0.605417125,0.269811648
ethylene glycol,OCCO,2.3,37.7,1.431,0.206,0.78,0.84,1.05,0.47,0.274742613,0.837869757,0.665583727,0.29235106
formamide,NC=O,3.4,111,1.447,0.211,0.8,0.89,0.97,0.45,0.282423592,0.89496946,0.706265193,0.302880349
benzyl alcohol,OCC1=CC=CC=C1,1.7,11.92,1.538,0.239,0.91,0.67,0.79,0.5,0.201353069,0.619238012,0.47169808,0.361701807
benzonitrile,N#CC1=CC=CC=C1,4,25.2,1.526,0.235,0.9,0.74,0,0.34,0.235958834,0.761634657,0.582758446,0.3540558
benzene,C1=CC=CC=C1,0,2.27,1.498,0.228,0.87,0.23,0,0.14,0.002565094,0.005564973,0.004303523,0.336080139
"1,4-xylene",CC1=CC=C(C)C=C1,0,2.27,1.493,0.226,0.86,0.14,0,0.17,0.004062886,0.00878039,0.00680323,0.33285084
hexafluorobenzene,FC1=C(F)C(F)=C(F)C(F)=C1F,0.3,2.05,1.375,0.187,0.71,0.24,0,0,0.019607843,0.037289721,0.030343597,0.255116853
toluene,CC1=CC=CC=C1,0.3,2.38,1.494,0.226,0.86,0.2,0,0.15,0.014103874,0.030918678,0.023947151,0.33349716
hexane,CCCCCC,0.08,1.89,1.375,0.186,0.71,0,0,0,-8.20E-05,-0.000152249,-0.000123889,0.255116853
water,O,1.855,80.36,1.333,0.171,0.65,0.89,1.54,0.37,0.320121531,0.913771369,0.75787907,0.226850797
1-hexanol,CCCCCCO,,14.38,1.417,0.201,0.77,0.68,0.65,0.72,0.248653072,0.707551574,0.565373541,0.283096435
carbon tetrachloride,ClC(Cl)(Cl)Cl,0,2.3,1.46,0.215,0.82,0.1,0,0,0.017140577,0.036224986,0.028436531,0.311396656
heptane,CCCCCCC,0,1.94,1.388,0.191,0.73,0,0,0,0.001704509,0.003225063,0.002609339,0.263810106
2-methoxyethanol,COCCO,1.174,17.19,1.402,0.196,0.75,0.74,0.83,0.63,0.261788266,0.746312964,0.600173765,0.273139674
n-butyl acetate,CCCCOC(C)=O,1.87,5.01,1.394,0.193,0.74,0.54,0,0.58,0.170853784,0.412452051,0.332836406,0.267812704
ethyl benzoate,CCOC(=O)C1=CC=CC=C1,1.91,6.13,1.505,0.229,0.87,0.49,0,0.47,0.158123115,0.433574063,0.334391952,0.34059143
decanol,CCCCCCCCCCO,,8.53,1.437,0.208,0.79,0.55,0.72,0.76,0.209344716,0.571822363,0.453112723,0.296305584
octanol,CCCCCCCCO,1.76,10.34,1.43,0.205,0.78,0.63,0.66,0.74,0.225518869,0.627354272,0.49856287,0.291691278
1-heptanol,CCCCCCCO,,11.75,1.424,0.203,0.78,0.66,0.64,0.75,0.235479016,0.661031479,0.526646097,0.287728482
trichloroethane,CC(Cl)(Cl)Cl,1.755,7.33,1.438,0.208,0.79,0.37,0,0,0.196288377,0.525137924,0.415948,0.296963972
dichloroethane,CC(Cl)Cl,1.34,10.1,1.417,0.201,0.77,0.6,0,0,0.228301581,0.626476308,0.50058984,0.283096435
methyl cyclohexane,CC1CCCCC1,,2.02,1.422,0.203,0.77,0,0,0,-0.000245923,-0.000484931,-0.000386671,0.286405997
decalin,C1CCC2CCCCC2C1,,2.23,1.481,0.222,0.85,0,0,0,0.003737211,0.007960211,0.006196725,0.325077277
n-butyl ether,CCCCOCCCC,1.18,3.18,1.398,0.194,0.74,0.15,0,0.64,0.101768818,0.222819298,0.179497247,0.270477609
tert-butanol,CC(C)(C)O,1.66,11.72,1.383,0.189,0.72,0.69,0.24,0.73,0.24948168,0.675923852,0.548077232,0.260469893
isobutanol,CC(C)CO,1.64,18.49,1.396,0.194,0.74,0.74,0.57,0.66,0.266775988,0.760673424,0.613308511,0.269145509
1-pentanol,CCCCCO,1.7,15.8,1.409,0.198,0.76,0.72,0.64,0.7,0.255764471,0.728670027,0.58423068,0.27779133
pentane,CCCCC,,1.84,1.358,0.18,0.69,0,0,0,-0.000569335,-0.001032084,-0.00084625,0.243707507
pyridine,C1=CC=NC=C1,2.215,13.22,1.509,0.23,0.88,0.67,0,0.69,0.215403021,0.654882491,0.504303883,0.343164164
tetrachloroethane,ClC(Cl)C(Cl)Cl,1.32,8.42,1.494,0.225,0.86,0.58,0.04,0,0.190439823,0.543524369,0.420970788,0.33349716
ethyl propionate,CCOC(=O)CC,1.74,7,1.411,0.199,45.4,0.76,,0.36,0.201093451,0.522252243,0.418372852,0.279118724
