Name,Solvent,n,n25,a,b,g,e,f,y
"1,1,1-trichloroethane ",CC(Cl)(Cl)Cl,1.4379,1.4313,0,0.09,36.24,7.0826,0,0.6
"1,1,2-trichloroethane ",C(C(Cl)Cl)Cl,1.4714,1.4689,0.13,0.13,48.97,7.1937,0,0.6
"1,2,4-trimethylbenzene ",Cc1ccc(c(c1)C)C,1.5048,1.5024,0,0.19,42.03,2.3653,0.667,0
"1,2-dibromoethane ",C(CBr)Br,1.5387,1.5364,0.1,0.17,56.93,4.9313,0,0.5
"1,2-dichloroethane ",C(CCl)Cl,1.4448,1.4425,0.1,0.11,45.86,10.125,0,0.5
"1,2-ethanediol ",C(CO)O,1.4318,1.4306,0.58,0.78,69.07,40.245,0,0
"1,4-dioxane ",C1COCCO1,1.4224,1.4204,0,0.64,47.14,2.2099,0,0
1-bromo-2-methylpropane ,CC(C)CBr,1.4348,1.4349,0,0.12,34.69,7.7792,0,0.2
1-bromooctane ,CCCCCCCCBr,1.4524,1.45,0,0.12,41.28,5.0244,0,0.111
1-bromopentane ,CCCCCBr,1.4447,1.442,0,0.12,38.7,6.269,0,0.167
1-bromopropane ,CCCBr,1.4343,1.4315,0,0.12,36.36,8.0496,0,0.25
1-butanol ,CCCCO,1.3993,1.3971,0.37,0.48,35.88,17.332,0,0
1-chlorohexane ,CCCCCCCl,1.4199,,0,0.1,37.03,5.9491,0,0.143
1-chloropentane ,CCCCCCl,1.4127,1.4104,0,0.1,35.12,6.5022,0,0.167
1-chloropropane ,CCCCl,1.3879,1.3851,0,0.1,30.66,8.3548,0,0.25
1-decanol ,CCCCCCCCCCO,1.4372,1.4353,0.37,0.48,41.04,7.5305,0,0
1-fluorooctane ,CCCCCCCCF,1.3935,1.3927,0,0.1,33.92,3.89,0,0.111
1-heptanol ,CCCCCCCO,1.4249,1.4224,0.37,0.48,38.5,11.321,0,0
1-hexanol ,CCCCCCO,1.4178,1.4162,0.37,0.48,37.15,12.51,0,0
1-hexene ,CCCCC=C,1.3837,1.385,0,0.07,25.76,2.0717,0,0
1-hexyne ,CCCCC#C,1.3989,1.3957,0.12,0.1,28.79,2.615,0,0
1-iodobutane ,CCCCI,1.5001,1.4958,0,0.15,40.65,6.173,0,0
1-iodohexadecane ,CCCCCCCCCCCCCCCCI,1.4806,,0,0.15,46.48,3.5338,0,0
1-iodopentane ,CCCCCI,1.4959,,0,0.15,41.56,5.6973,0,0
1-iodopropane ,CCCI,1.5058,1.5027,0,0.15,41.45,6.9626,0,0
1-nitropropane ,CCC[N+](=O)[O-],1.4018,1.3996,0,0.31,43.32,23.73,0,0
1-nonanol ,CCCCCCCCCO,1.4333,1.4319,0.37,0.48,40.14,8.5991,0,0
1-octanol ,CCCCCCCCO,1.4295,1.4279,0.37,0.48,39.01,9.8629,0,0
1-pentanol ,CCCCCO,1.4101,1.408,0.37,0.48,36.5,15.13,0,0
1-pentene ,CCCC=C,1.3715,1.3684,0,0.07,22.24,1.9905,0,0
1-propanol ,CCCO,1.385,1.3837,0.37,0.48,33.57,20.524,0,0
"2,2,2-trifluoroethanol ",C(C(F)(F)F)O,1.2907,,0.57,0.25,42.02,26.726,0,0.5
"2,2,4-trimethylpentane ",CC(C)CC(C)(C)C,1.3915,1.3889,0,0,26.38,1.9358,0,0
"2,4-dimethylpentane ",CC(C)CC(C)C,1.3815,1.3788,0,0,25.42,1.8939,0,0
"2,4-dimethylpyridine ",Cc1ccnc(c1)C,1.501,1.4985,0,0.63,46.86,9.4176,0.625,0
"2,6-dimethylpyridine ",Cc1cccc(n1)C,1.4953,1.4952,0,0.63,44.64,7.1735,0.625,0
2-bromopropane ,CC(C)Br,1.4251,1.4219,0,0.14,33.46,9.361,0,0.25
2-butanol ,CCC(C)O,1.3978,1.3949,0.33,0.56,32.44,15.944,0,0
2-chlorobutane ,CCC(C)Cl,1.3971,1.3941,0,0.12,31.1,8.393,0,0.2
2-heptanone ,CCCCCC(=O)C,1.4088,1.4073,0,0.51,37.6,11.658,0,0
2-hexanone ,CCCCC(=O)C,1.4007,1.3987,0,0.51,36.63,14.136,0,0
2-methoxyethanol ,COCCO,1.4024,1.4003,0.3,0.84,44.39,17.2,0,0
2-methyl-1-propanol ,CC(C)CO,1.3955,1.3938,0.37,0.48,32.38,16.777,0,0
2-methyl-2-propanol ,CC(C)(C)O,1.3878,1.3852,0.31,0.6,28.73,12.47,0,0
2-methylpentane ,CCCC(C)C,1.3715,1.3687,0,0,24.3,1.89,0,0
2-methylpyridine ,Cc1ccccn1,1.4957,1.4984,0,0.58,47.5,9.9533,0.714,0
2-nitropropane ,CC(C)[N+](=O)[O-],1.3944,1.3923,0,0.33,42.16,25.654,0,0
2-octanone ,CCCCCCC(=O)C,1.4151,1.4133,0,0.51,37.29,9.4678,0,0
2-pentanone ,CCCC(=O)C,1.3895,1.3885,0,0.51,33.46,15.2,0,0
2-propanol ,CC(C)O,1.3776,1.3752,0.33,0.56,30.13,19.264,0,0
2-propen-1-ol ,C=CCO,1.4135,,0.38,0.48,36.39,19.011,0,0
E-2-pentene ,CCC=CC,1.3793,1.3761,0,0.07,23.62,2.051,0,0
3-methylpyridine ,Cc1cccnc1,1.504,1.5043,0,0.54,49.61,11.645,0.714,0
3-pentanone ,CCC(=O)CC,1.3924,1.3905,0,0.51,35.61,16.78,0,0
4-heptanone ,CCCC(=O)CCC,1.4069,1.4045,0,0.51,35.98,12.257,0,0
4-methyl-2-pentanone ,CC(C)CC(=O)C,1.3962,1.394,0,0.51,33.83,12.887,0,0
4-methylpyridine ,Cc1ccncc1,1.5037,1.503,0,0.54,50.17,11.957,0.714,0
